Name;Category;Inventory result;Unit;Impact factor;Unit;Impact result;Unit;Meal
Ecotoxicity, freshwater - organics;;;;;;12.83421;CTUe;Paella
Acidification;;;;;;0.05240;mol H+ eq;Paella
Climate change - Fossil;;;;;;1.97816;kg CO2 eq;Paella
Climate change - Land use and LU change;;;;;;0.18859;kg CO2 eq;Paella
Climate change - Biogenic;;;;;;0.26727;kg CO2 eq;Paella
Human toxicity, non-cancer;;;;;;8.92477E-8;CTUh;Pizza
Human toxicity, non-cancer - inorganics;;;;;;6.68148E-9;CTUh;Pizza
Resource use, fossils;;;;;;33.03750;MJ;Pizza
Eutrophication, marine;;;;;;0.02029;kg N eq;Pizza
Ecotoxicity, freshwater - inorganics;;;;;;5.61946;CTUe;Pizza
Eutrophication, freshwater;;;;;;0.00067;kg P eq;Pizza
Human toxicity, cancer - metals;;;;;;1.72725E-9;CTUh;Pizza
Climate change;;;;;;3.68056;kg CO2 eq;Pizza
Ionising radiation;;;;;;1.03712;kBq U-235 eq;Pizza
Human toxicity, cancer - inorganics;;;;;;0.00000;CTUh;Pizza
Photochemical ozone formation;;;;;;0.00839;kg NMVOC eq;Pizza
Ecotoxicity, freshwater - metals;;;;;;54.82724;CTUe;Pizza
Resource use, minerals and metals;;;;;;4.48768E-6;kg Sb eq;Pizza
Ozone depletion;;;;;;2.48083E-7;kg CFC11 eq;Pizza
Human toxicity, cancer;;;;;;2.44611E-9;CTUh;Pizza
Water use;;;;;;2.51712;m3 depriv.;Pizza
Human toxicity, cancer - organics;;;;;;7.18858E-10;CTUh;Pizza
Human toxicity, non-cancer - organics;;;;;;4.82040E-9;CTUh;Pizza
Ecotoxicity, freshwater;;;;;;85.93944;CTUe;Pizza
Eutrophication, terrestrial;;;;;;0.22622;mol N eq;Pizza
Human toxicity, non-cancer - metals;;;;;;7.79041E-8;CTUh;Pizza
Particulate matter;;;;;;3.56668E-7;disease inc.;Pizza
Land use;;;;;;273.65203;Pt;Pizza
Ecotoxicity, freshwater - organics;;;;;;25.54507;CTUe;Pizza
Acidification;;;;;;0.05249;mol H+ eq;Pizza
Climate change - Fossil;;;;;;1.76151;kg CO2 eq;Pizza
Climate change - Land use and LU change;;;;;;0.22129;kg CO2 eq;Pizza
Climate change - Biogenic;;;;;;1.69777;kg CO2 eq;Pizza
